QUESTION,ANSWER
도난 경보 장치가 경계 상태에 들어갔음을 어떻게 확인할 수 있나요?,도난 경보 장치가 경계 상태에 들어갔음을 확인하려면 비상 경고등이 1회 깜빡이고 경고음이 울리는지 확인하면 됩니다.
도어를 수동으로 개폐할 때 주의해야 할 점은 무엇인가요?,도어를 수동으로 개폐할 때는 에어가 충분히 빠진 것을 확인한 후 도어 핸들을 잡고 개폐해야 합니다.
화물함 도어의 잠금 장치를 해제하는 방법은 무엇인가요?,화물함 도어의 잠금 장치를 해제하는 방법은 적재함 도어의 잠금 장치가 잠긴 상태에서 화물 함 잠금 스위치를 누르면 됩니다.
비상도어를 차량 외부에서 열기 위해서는 어떤 절차를 따라야 하나요?,"비상도어를 차량 외부에서 열기 위해서는 먼저 아크릴을 파손시켜야 하며, 그 후 외부 비상도어 핸들을 화살표 방향으로 완전히 조작한 후 당기면 비상도어가 열립니다."
주행 중 좌석을 조절하면 어떤 위험이 발생할 수 있나요?,주행 중 좌석을 조절하면 운전 능력을 잃게 되어 심각한 부상이나 사망을 초래할 수 있습니다.
히터 및 통풍선택 스위치를 사용하여 히터나 통풍 기능을 작동시키는 방법을 설명하세요.,히터 및 통풍선택 스위치를 원하는 히터나 통풍 방향으로 누르면 스위치 옆에 있는 LED 표시등이 점등되며 선택된 기능이 작동됩니다.
주행 중 스티어링 휠의 상하 위치 조절을 하면 어떤 위험이 발생할 수 있나요?,주행 중 스티어링 휠의 상하 위치 조절을 하면 조향 능력을 상실하게 되어 사고가 날 수 있습니다.
하이패스 시스템 단말기의 전원을 켜고 끄는 방법은 무엇인가요?,"하이패스 시스템 단말기의 전원을 켜려면 전원이 꺼진 상태에서 전원 버튼을 짧게 또는 길게 누르면 되고, 전원을 끄려면 전원이 켜진 상태에서 전원 버튼을 길게 누르면 됩니다."
엔진의 오버런(Overrun)이란 무엇을 의미하나요?,엔진의 오버런(Overrun)은 엔진 최대 회전수보다 더 높은 속도로 회전하는 엔진의 상태를 말합니다.
차로 안전 경고등이 점등되는 조건은 무엇인가요?,차로 안전 경고등은 차로 이탈 경고의 고장 또는 차로 안전 버튼을 눌러 수동으로 기능을 해제했을 때 점등됩니다.
주차 브레이크 표시등이 점등되는 조건은 무엇인가요?,"주차 브레이크 표시등은 주차 브레이크가 작동 상태일 때 점등되고, 해제 시 소등됩니다."
차체자세 제어장치(VDC) 작동 정지 표시등이 점등되는 조건은 무엇인가요?,차체자세 제어장치(VDC) 작동 정지 표시등은 VDC OFF 스위치를 눌러 VDC 기능이 해제되면 점등됩니다.
전륜 또는 후륜 마모 센서가 고장났을 때 어떤 조치를 취해야 하나요?,"전륜 또는 후륜 마모 센서가 고장나면 라이닝(패드) 표시등이 점멸하며, 이 경우 당사 직영 하이테크센터 또는 블루핸즈에서 점검을 받아야 합니다."
ECO-ROLL 기능이 활성화되었을 때 어떤 표시등이 점등되나요?,ECO-ROLL 기능이 활성화되었을 때 녹색 ECO-ROLL 작동 표시등이 점등됩니다.
주행가능 거리가 '---'로 표시되는 경우는 어떤 경우인가요?,주행가능 거리가 '---'로 표시되는 경우는 주행가능거리가 특정 거리 이하이거나 연료센서 이상이 감지된 경우입니다.
적산거리계가 정상으로 간주되는 주행 거리는 얼마인가요?,적산거리계가 정상으로 간주되는 주행 거리는 차량 출고 시 90km 미만입니다.
"전조등 상향, 하향 변환이 가능한 조건은 무엇인가요?","전조등 상향, 하향 변환이 가능한 조건은 조명 스위치가 전조등 위치에 있을 때입니다."
와이퍼를 작동시킬 때 주의해야 할 사항은 무엇인가요?,"와이퍼를 작동시킬 때 주의해야 할 사항은 유리창이 건조할 때 와이퍼를 작동시키지 말고, 유리창과 와이퍼를 세척할 때 가솔린이나 신나와 같은 유기용제를 사용하지 않으며, 겨울철에는 얼지 않는 와셔액을 사용하는 것입니다."
"리타더 작동 시 발생된 제동열은 어떻게 냉각되며, 과열 시 어떤 현상이 발생하나요?","리타더 작동 시 발생된 제동열은 엔진 라디에터에서 냉각되며, 과열 시 제동력이 점진적으로 약해집니다."
제이크 브레이크를 사용할 때 주의해야 할 점은 무엇인가요?,"제이크 브레이크를 사용할 때는 클러치 페달을 밟지 않고 변속하지 말아야 하며, 미끄러운 도로에서는 사용하지 말아야 합니다."
주차 브레이크를 사용할 때 주의해야 할 점은 무엇인가요?,"주차 브레이크를 사용할 때는 차량에서 하차하기 전에 반드시 작동 상태를 확인하고, 주차 브레이크 해제 후 계기판의 주차 브레이크 작동 표시등 소등 여부를 확인해야 합니다."
좌석 열선을 사용할 때 주의해야 할 점은 무엇인가요?,"좌석 열선을 사용할 때 주의해야 할 점은 과열 방지를 위해 좌석에 모포나 방석 등을 올려놓은 상태로 사용하지 말고, 장시간 사용 시 발열이나 저온 화상을 입을 수 있으니 주의하는 것입니다."
플로워 램프 스위치를 누르면 어떤 일이 발생하나요?,플로워 램프 스위치를 누르면 승객석 아래쪽 통로 등이 점등됩니다.
"닐링 스위치는 어떤 상황에서 사용되며, 작동 조건은 무엇인가요?","닐링 스위치는 승객이 쉽게 승하차 할 수 있도록 차량 높낮이를 조절할 때 사용하며, 배터리 릴레이 스위치가 'ON' 상태에서 작동합니다."
ECAS 높이조절 스위치를 'DOWN'으로 누르면 차량의 높이는 어떻게 변하나요?,ECAS 높이조절 스위치를 'DOWN'으로 누르면 차량의 높이가 표준보다 30mm 하강합니다.
후방 주차 거리 경고 시스템이 정상적으로 작동하는지 확인하는 방법은 무엇인가요?,후방 주차 거리 경고 시스템이 정상적으로 작동하는지 확인하는 방법은 차량 시동 후 변속레버를 'R'(후진) 위치로 이동시켜 '삐'하는 경고음이 한번 울리는지 확인하는 것입니다.
후방 모니터가 작동하기 위한 조건은 무엇인가요?,후방 모니터가 작동하기 위한 조건은 시동 스위치(버튼)가 'ON' 상태이거나 시동이 걸린 상태에서 변속레버가 'R'(후진) 단에 위치한 경우입니다.
제습 효과를 높이기 위해 내기/외기 전환 버튼을 어떻게 사용해야 하나요?,제습 효과를 높이기 위해 내기/외기 전환 버튼을 눌러 외기모드로 작동시켜야 합니다.
히터 및 에어컨을 켜놓고 차안에서 수면을 취하면 어떤 위험이 있나요?,히터 및 에어컨을 켜놓고 차안에서 수면을 취하면 사망의 위험이 있습니다.
공조시스템 OFF 버튼을 누르면 어떤 일이 발생하나요?,공조시스템 OFF 버튼을 누르면 복귀합니다.
배기 파이프를 막히지 않도록 유지하기 위해 매일 해야 할 일은 무엇인가요?,배기 파이프를 막히지 않도록 유지하기 위해 매일 배기 파이프를 점검하고 청소해야 합니다.
선바이저를 원하는 위치로 조정하는 방법은 무엇인가요?,선바이저의 홀더를 잡고서 원하는 위치까지 아래로 당기면 햇빛을 가릴 수 있습니다.
무선충전 시스템을 사용하기 위해 차량에서 어떤 설정을 해야 하나요?,"무선충전 시스템을 사용하기 위해 차량의 시동스위치를 [ON] 상태로 두고, 계기판에서 '사용자 설정 → 편의 → 무선충전 시스템'을 선택하여 기능을 켜야 합니다."
무선충전패드를 사용할 때 주의해야 할 점은 무엇인가요?,무선충전패드를 사용할 때 주의해야 할 점은 패드가 트레이에 완전히 밀착되지 않으면 무선충전 시 속도가 느려지거나 충전이 중단될 수 있으므로 주의해야 합니다.
외부 기기를 다용도 소켓에 연결할 때 발생할 수 있는 문제와 그 해결 방법은 무엇인가요?,"외부 기기를 다용도 소켓에 연결하여 사용할 때 소음이 발생될 수 있으며, 이 경우 외부 기기 자체 전원을 사용해야 합니다."
"운전 중에 별도의 조작이 필요한 경우, 왜 사용하지 말아야 하나요?",운전 중에 별도의 조작을 할 경우 운전자의 주의가 산만해져 사고의 위험이 있기 때문에 사용하지 말아야 합니다.
디젤 차량에 사용할 수 없는 연료와 그 이유는 무엇인가요?,"디젤 차량에 사용할 수 없는 연료는 등유, 알코올, 항공유, 바이오 디젤 등이며, 이는 연료 탱크 오염, 연료 펌프 손상 및 연료 필터의 조기 막힘 등으로 인해 엔진과 배출가스 관련 장치가 손상될 수 있기 때문입니다."
요소수가 눈 또는 피부에 묻었을 때 어떻게 해야 하나요?,요소수가 눈 또는 피부에 묻으면 즉시 깨끗한 물로 닦아내야 합니다.
요소수를 보관할 때 적합하지 않은 용기의 재질은 무엇인가요?,"알루미늄, 동, 동합금, 비합금강, 아연도금강의 재질로 제작된 용기는 요소수 보관에 적합하지 않습니다."
요소수를 폐기할 때 어떻게 해야 환경에 영향을 미치지 않나요?,요소수를 폐기할 때는 부피 기준 10배 이상의 물과 희석하여 토양이나 하수관에 폐기하면 환경에 아무런 영향을 미치지 않습니다.
요소수를 탱크에서 빼내면 안 되는 이유는 무엇인가요?,요소수를 탱크에서 빼내면 순도가 보장되지 않기 때문에 재활용하지 말고 반드시 새 요소수를 주입해야 합니다.
경사로에서 브레이크를 활용하는 요령은 무엇인가요?,"경사로에서 브레이크를 활용하는 요령은 브레이크를 지속적으로 밟지 않고, 엔진 브레이크를 활용하여 속도를 조절하는 것입니다."
스마트 크루즈 컨트롤 (SCC) 사용 시 차간거리 설정 방법은 무엇인가요?,"스마트 크루즈 컨트롤 (SCC) 사용 시 차간거리 설정 방법은 멀티 디스플레이를 통해 설정할 수 있으며, 운전자가 원하는 차간거리를 선택하여 설정할 수 있습니다."
운전자 주의 경고 시스템 (DSW)에서 실내 카메라의 역할은 무엇인가요?,"운전자 주의 경고 시스템 (DSW)에서 실내 카메라는 운전자의 얼굴을 인식하여 주의 상태를 모니터링하고, 필요 시 경고를 제공하는 역할을 합니다."
시동 스위치에서 키를 분리할 수 있는 위치는 어디인가요?,시동 스위치에서 키를 분리할 수 있는 위치는 'LOCK' 위치입니다.
"시동 버튼을 'OFF', 'ACC' 또는 'ON' 상태에서 변속 레버를 '중립, N' 위치에 두고 시동을 거는 방법은 무엇인가요?","시동 버튼을 'OFF', 'ACC' 또는 'ON' 상태에서 변속 레버를 '중립, N' 위치에 두고, 브레이크 페달을 밟은 상태로 시동 버튼을 누르면 바로 시동이 걸립니다."
수동변속기 차량을 오르막길에 주차할 때와 내리막길에 주차할 때 각각 어떤 기어에 놓아야 하나요?,"수동변속기 차량을 오르막길에 주차할 때는 '1단'에 놓고, 내리막길에 주차할 때는 'R'(후진)에 놓아야 합니다."
겨울철 기온이 낮을 때 변속기 오일이 워밍업 되기 전에는 어떤 현상이 발생할 수 있나요?,겨울철 기온이 낮을 때 변속기 오일이 워밍업 되기 전에는 기어 변속이 어려울 수 있습니다. 이는 정상적인 현상이며 기계적 이상이 아닙니다.
파워모드 기능을 작동시키는 방법은 무엇인가요?,"파워모드 기능은 다기능 스위치 ①를 짧게 (약 0.5초 이하) 눌러 작동하며, 엔진의 여유 출력이 필요한 경우 변속 시기를 늦추어 언덕길 및 추월 시 사용할 수 있습니다."
중립상태로 주행하지 말아야 하는 이유는 무엇인가요?,"중립상태로 주행하지 말아야 하는 이유는 엔진 브레이크, 배기 브레이크, 제이크 브레이크가 작동되지 않으므로 주 브레이크의 부담이 커져 제동력을 크게 저해하기 때문입니다."
보조 브레이크의 종류와 각각의 특징을 설명하세요.,"보조 브레이크의 종류에는 배기 브레이크, 제이크 브레이크, 리타더 브레이크가 있습니다. 배기 브레이크는 배출가스를 차단하여 엔진의 감속을 발생시키는 장치로 저단일수록 제동 효율이 좋습니다. 제이크 브레이크는 디젤엔진에 장착된 감속장치로 구동륜에 감속동작을 전달합니다. 리타더 브레이크는 엔진에 장착된 유압기동장치를 사용하여 제동력을 가하는 보조 브레이크입니다."
EBS 시스템이 작동할 때 엔진 회전수가 저하되는 이유는 무엇인가요?,"EBS 시스템이 작동할 때 엔진 회전수가 저하되는 이유는 시스템이 정상적으로 작동하고 있음을 나타내는 것으로, 이는 고장이 아닙니다."
VDC 작동 정지 상태에서 시동을 껐다가 다시 켜면 VDC 기능은 어떻게 되나요?,VDC 작동 정지 상태에서 시동을 껐다가 다시 켜면 VDC 작동 가능 상태로 복귀됩니다.
급제동 경보 시스템(ESS)이 작동하는 조건은 무엇인가요?,급제동 경보 시스템(ESS)은 차량 속도가 55km/h 이상이고 제동 중 차량 감속도가 4㎨ 이상이거나 모든 바퀴가 ABS가 작동할 때 작동합니다.
FCA가 작동하지 않는 상황은 어떤 경우인가요?,"FCA가 작동하지 않는 상황은 ABS가 장착되지 않은 견인 차량을 부착 주행할 때, 차체 자세 제어 장치(VDC) 경고등이 켜진 경우, 미끄럽거나 눈이 쌓이거나 얼음이 언 노면에서입니다."
FCA 시스템이 정상적으로 작동하지 않을 수 있는 상황은 무엇인가요?,"FCA 시스템이 정상적으로 작동하지 않을 수 있는 상황은 전방 카메라 영역에 이물질이 있는 경우, 전방 레이더 센서에 눈이나 비가 묻은 경우, 센서나 그릴 주위가 오염된 경우, 레이더 난반사가 심한 경우, 다른 전자파에 의한 간섭이 있는 경우, 심한 안개가 있는 경우 등입니다."
터널 진/출입 시 조도 변화가 큰 상황에서 FCA 기능이 제한될 수 있는 이유는 무엇인가요?,터널 진/출입과 같이 조도 변화가 큰 상황인 경우 카메라 센서의 인식 성능이 저하될 수 있어 FCA 기능이 제한될 수 있습니다.
차로 이탈 경고(LDW) 시스템이 작동하지 않는 조건은 무엇인가요?,차로 이탈 경고(LDW) 시스템이 작동하지 않는 조건은 차량 속도가 60km/h 이하이거나 차선을 감지하지 못할 때입니다.
전방 주시 경고 시스템(DSW)이 정상적으로 작동하지 않을 수 있는 상황은 무엇인가요?,"전방 주시 경고 시스템(DSW)이 정상적으로 작동하지 않을 수 있는 상황은 실내 카메라 렌즈에 습기가 차거나 이물질이 묻은 경우, 실내 카메라 위 또는 앞에 휴대전화 또는 기타 물건을 올려 두는 경우, 실내 카메라 주변에 압력이나 충격이 가해진 경우입니다."
전방 주시 경고 시스템이 작동하지 않는 조건은 무엇인가요?,"전방 주시 경고 시스템이 작동하지 않는 조건은 차량 속도가 20km/h 이하일 경우, 차량 기어가 'R'(후진)단인 경우, 운전자가 방향지시등을 켜거나 비상등 버튼을 조작할 경우, 스티어링 휠을 강하게 조작할 경우, 운전자가 브레이크 또는 가속 페달을 강하게 밟을 경우입니다."
실내 카메라로 운전자의 얼굴을 인식하지 못하는 경우는 어떤 상황인가요?,"실내 카메라로 운전자의 얼굴을 인식하지 못하는 경우는 운전자의 얼굴 위치가 카메라로부터 1.2m 이상 멀리 있거나 50cm 이하로 가까이 있는 경우, 과도한 눈 화장이나 눈 주변 피어싱 착용 등으로 일반적인 눈의 형태와 다를 경우, 머리카락, 손, 모자 등에 의해 눈 주변이 일부 가려질 경우, 윙크나 안대 착용 등에 의해 한 쪽 눈이 가려질 경우입니다."
크루즈 컨트롤 기능을 일시적으로 해제할 수 있는 방법은 무엇인가요?,"크루즈 컨트롤 기능은 브레이크 페달을 밟을 때, 클러치 페달을 밟을 때, 배기 브레이크, 제이크 브레이크, 리타더 브레이크를 사용할 때, 스위치를 누름으로써 일시적으로 해제할 수 있습니다."
스마트 크루즈 컨트롤(SCC) 사용 중 설정속도를 증가시키는 방법은 무엇인가요?,"스마트 크루즈 컨트롤 사용 중 설정속도를 증가시키려면 + 스위치를 짧게 밀어 올릴 때마다 설정속도가 1 km/h 단위로 증가하고, + 스위치를 길게 밀어 올리면 설정속도가 10 km/h 단위로 증가합니다."
스마트 크루즈 컨트롤(SCC)을 사용할 때 주의해야 할 상황은 무엇인가요?,"스마트 크루즈 컨트롤(SCC)을 사용할 때 주의해야 할 상황은 도로 및 주변에 금속 구조물이 많은 경우, 주차장, 차선 근접 가드레일, 비, 눈, 얼음 등으로 미끄러워진 도로, 급커브길, 경사가 급한 내리막길이나 오르막길, 기상 상태가 좋지 않거나 시야확보가 어려운 경우, 바람이 많이 부는 도로입니다."
스마트 크루즈 컨트롤이 해제되는 조건 중 하나는 무엇인가요?,스마트 크루즈 컨트롤이 해제되는 조건 중 하나는 운전자가 브레이크를 작동할 때입니다.
스마트 크루즈 컨트롤 기능 사용 시 커브 길에서 발생할 수 있는 문제는 무엇인가요?,"커브 길에서는 같은 차로에 있는 차량을 인식하지 못해 차량의 속도가 설정속도까지 빠르게 가속할 수 있으며, 선행 차량을 갑자기 인식하여 속도가 빠르게 감속할 수 있습니다."
구불구불한 도로에서 FCA를 해제해야 하는 이유는 무엇인가요?,구불구불한 도로에서는 전방 차량을 잘 인식하지 못하거나 전방 차량이 어느 차선에 있는지 감지하지 못하여 경고가 작동하거나 차량이 감속될 수 있기 때문에 FCA를 해제하거나 운전에 주의해야 합니다.
언덕길 발진 보조 기능을 주차 브레이크 대용으로 사용하면 안 되는 이유는 무엇인가요?,언덕길 발진 보조 기능을 주차 브레이크 대용으로 사용하면 차량이 움직여 사고가 발생할 우려가 있기 때문에 절대로 사용해서는 안 됩니다.
SCC 작동 중 가속페달을 밟아 차로 변경 시 경고가 발생할 수 있는 상황은 무엇인가요?,SCC 작동 중 가속페달을 밟아 차로 변경 시 경고가 발생할 수 있는 상황은 추월 가속 중 전방 차량이 가까워질 경우와 변경 차로에 차량이 있을 경우입니다.
ECO-ROLL 기능이 해제되는 조건 중 하나를 설명하세요.,ECO-ROLL 기능이 해제되는 조건 중 하나는 변속 조절 레버가 D단 이외일 때입니다.
운전자 주의 경고 기능을 설정하거나 민감도를 조절하는 방법은 무엇인가요?,"시동스위치(버튼)를 'ON' 위치로 하고 계기판에서 '사용자 설정 → 운전자 보조 → 운전자 주의 경고'를 선택하여 '꺼짐'을 선택하면 기능이 꺼지며, 선택을 해제하면 기능이 켜집니다. 민감도는 '민감도 높게'와 '민감도 보통' 중에서 선택할 수 있습니다."
엔진 시동을 끌 때 주의해야 할 점은 무엇인가요?,"엔진 시동을 끌 때는 꼭 아이들링 시에 실시하고, 만일 엔진이 역회전 할 경우 바로 시동 스위치를 'ACC' 위치로 되돌려 꺼야 합니다."
여름철 주행 시 라디에이터를 점검할 때 주의해야 할 사항은 무엇인가요?,"여름철 주행 시 라디에이터를 점검할 때는 냉각수가 부족하지 않도록 주의하고, 라디에이터에 흙, 먼지, 벌레 등 오물이 끼지 않도록 점검해야 합니다. 라디에이터가 불결하면 냉각효과가 떨어집니다."
도어가 동결된 경우 어떻게 대처해야 하나요?,도어가 동결된 경우 무리하게 열려고 하면 도어 주위의 고무가 벗겨지거나 갈라질 수 있으므로 뜨거운 물로 얼음을 녹인 뒤 수분을 완전히 닦아야 합니다.
진흙 도로에서 차량 바퀴가 빠졌을 때 어떻게 해야 하나요?,"진흙 도로에서 차량 바퀴가 빠졌을 때는 무턱대고 엔진을 급가속시키지 말고, 헌 모포나 모래 등을 타이어 밑에 넣어 미끄럼 방지 조치를 한 뒤, 기어를 1단 또는 후진에 넣고 차를 전후로 움직이면서 빠져 나와야 합니다."
비상경고등을 사용하는 방법은 무엇인가요?,비상경고등을 사용하는 방법은 차량에 문제가 발생했을 때 비상경고등 스위치를 눌러 모든 방향 지시등을 깜빡이게 하여 다른 운전자에게 경고하는 것입니다.
엔진 오일 압력이 올라가지 않는 원인 중 하나는 무엇인가요?,엔진 오일 압력이 올라가지 않는 원인 중 하나는 엔진 오일량이 부족하기 때문입니다.
고장 시 차량이 재시동되지 않을 때 취해야 할 첫 번째 조치는 무엇인가요?,고장 시 차량이 재시동되지 않을 때 취해야 할 첫 번째 조치는 비상등을 점멸시키고 차량 후방에 안전삼각대를 설치하는 것입니다.
보조 배터리를 사용할 때 음극(-) 점프 케이블을 어디에 연결해야 하나요?,보조 배터리를 사용할 때 음극(-) 점프 케이블은 방전된 차량의 배터리로부터 멀리 떨어진 견고한 금속에 접지시켜야 합니다.
엔진 과열(오버히트) 발생 시 첫 번째로 취해야 할 조치는 무엇인가요?,엔진 과열(오버히트) 발생 시 첫 번째로 취해야 할 조치는 가능한 빨리 도로옆 안전한 곳에 주차하는 것입니다.
견인 시 기어 변속 레버는 어떤 위치로 해야 하나요?,견인 시 기어 변속 레버는 중립 위치로 해야 합니다.
셉쿨러 하단부에서 공기 누설이 발생했을 때 취해야 할 조치는 무엇인가요?,"셉쿨러 하단부에서 공기 누설이 발생했을 때는 차량을 안전한 곳에 주차하고, 고인목을 사용하여 차량이 움직이지 않도록 주의해야 합니다."
CNG 엔진 차량이 사고 및 차량 화재 시 반드시 해야 할 조치는 무엇인가요?,CNG 엔진 차량이 사고 및 차량 화재 시 반드시 시동을 끄고 전원 스위치(메인 전원)를 차단한 다음에 수동차단 밸브를 닫아야 합니다.
엔진룸에 장착된 화재감지 열선 센서는 몇 도에서 작동하나요?,엔진룸에 장착된 화재감지 열선 센서는 약 180℃ 부근에서 작동합니다.
타이어 공기압을 점검할 때 주의해야 할 사항은 무엇인가요?,"타이어 공기압을 점검할 때 주의해야 할 사항은 타이어가 차가운 상태에서 점검해야 하며, 차가운 타이어란 3시간 이내에 주행한 적이 없거나 1.6km 이내로 주행한 차의 타이어를 말합니다."
